epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.16092,1.12736,4.32313,1.19851,0.00151,0.26289,0.03153,0.01787,0.89576,3.58424,1.11215,0.0760059,5.86213e-06,5.86213e-06
2,5.52908,1.10823,3.88157,1.16808,0.00215,0.3269,0.05774,0.04496,0.74157,3.45688,1.02173,0.0510096,9.59874e-06,9.59874e-06
3,7.91833,0.98767,3.64929,1.12455,0.00284,0.34851,0.10072,0.08406,0.67649,3.28486,0.95342,0.0260109,1.09172e-05,1.09172e-05
4,10.278,0.9782,3.60829,1.11199,0.00258,0.33263,0.10208,0.08688,0.66597,3.14947,0.9357,0.00100982,9.8176e-06,9.8176e-06
5,12.6083,1.03968,3.55038,1.1544,0.59124,0.07304,0.10815,0.09264,0.68123,3.04074,0.93963,5.08051e-06,5.08051e-06,5.08051e-06
