epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.41723,1.09556,4.28277,1.23068,0.00345,0.39516,0.02987,0.02168,0.57024,3.47703,0.92749,0.076918,0.000917985,0.000917985
2,5.59214,1.07445,4.21725,1.17394,0.00465,0.46988,0.06317,0.04948,0.59436,3.46259,0.93271,0.0525031,0.00150312,0.00150312
3,7.80728,0.94138,4.07971,1.10072,0.00391,0.46863,0.09035,0.07244,0.58477,3.43384,0.92107,0.0277096,0.00170959,0.00170959
4,9.97488,0.95257,3.98474,1.11084,0.0045,0.51433,0.11217,0.09407,0.59336,3.33577,0.92568,0.0025374,0.0015374,0.0015374
5,12.1424,0.92466,3.92432,1.11856,0.00488,0.52453,0.11251,0.09664,0.58936,3.22428,0.90401,0.000795587,0.000795587,0.000795587
