epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.89303,1.11141,4.29032,1.23801,0.00371,0.41556,0.02561,0.01724,0.57354,3.50972,0.94298,0.0763814,0.000381422,0.000381422
2,5.07316,1.0942,4.33142,1.1998,0.00371,0.41556,0.03334,0.02277,0.57269,3.50118,0.92651,0.0516245,0.000624547,0.000624547
3,7.29347,1.00459,4.18996,1.14094,0.00358,0.43432,0.0434,0.03338,0.58174,3.49259,0.92306,0.0267103,0.000710335,0.000710335
4,9.50021,0.99499,4.16293,1.13768,0.00401,0.4705,0.06123,0.04494,0.60688,3.46534,0.94027,0.00163879,0.000638787,0.000638787
5,11.6729,0.97667,4.1298,1.14072,0.00445,0.48689,0.09167,0.06643,0.62138,3.43722,0.95057,0.000330566,0.000330566,0.000330566
