epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.68321,1.13364,4.20433,1.19749,0.00232,0.32826,0.03095,0.02119,1.0486,3.5411,1.17098,0.0760029,2.86094e-06,2.86094e-06
2,5.93162,1.07238,3.84449,1.1522,0.00168,0.29561,0.04599,0.03238,0.89871,3.43155,1.12772,0.0510047,4.68455e-06,4.68455e-06
3,8.23614,1.05448,3.70064,1.17879,0.00243,0.31624,0.06717,0.05001,0.73571,3.30492,1.00164,0.0260053,5.32802e-06,5.32802e-06
4,10.4865,1.04573,3.72603,1.13212,0.00233,0.32923,0.07627,0.0639,0.68381,3.14878,0.95315,0.00100479,4.79135e-06,4.79135e-06
5,12.7708,0.98871,3.59224,1.13452,0.33931,0.15782,0.07772,0.06258,0.70269,3.08791,0.95626,2.47948e-06,2.47948e-06,2.47948e-06
