epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.27903,1.12341,4.31924,1.22311,0.00385,0.4108,0.02229,0.01446,0.58557,3.50886,0.94257,0.0760636,6.3565e-05,6.3565e-05
2,5.49323,1.09206,4.36464,1.20744,0.00336,0.38557,0.02612,0.0168,0.60687,3.51458,0.94352,0.0511041,0.000104082,0.000104082
3,7.72552,1.06904,4.32307,1.20117,0.00336,0.40258,0.02562,0.01798,0.62694,3.5277,0.95471,0.0261184,0.000118379,0.000118379
4,9.9286,1.09353,4.33021,1.21406,0.00368,0.43484,0.02459,0.01795,0.62946,3.5277,0.95887,0.00110646,0.000106455,0.000106455
5,12.0636,1.01772,4.27869,1.19517,0.00391,0.43144,0.03336,0.02466,0.66503,3.53917,0.97384,5.50896e-05,5.50896e-05,5.50896e-05
