epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.29607,1.18445,4.14341,1.17398,0.00315,0.25477,0.02389,0.01137,0.75735,3.80783,0.98906,0.0760379,3.79442e-05,3.79442e-05
2,3.8895,1.18518,4.14204,1.1894,0.00311,0.26912,0.01705,0.01103,0.77502,3.77293,1.00048,0.0510621,6.21304e-05,6.21304e-05
3,5.35826,1.18224,4.13413,1.179,0.00322,0.28363,0.01745,0.01185,0.78592,3.76546,1.00619,0.0260707,7.06647e-05,7.06647e-05
4,6.85534,1.20469,4.15834,1.17207,0.00353,0.29928,0.02053,0.01439,0.81555,3.7711,1.01637,0.00106355,6.3547e-05,6.3547e-05
5,8.35153,1.07638,4.10586,1.14384,0.00383,0.3456,0.02263,0.01711,0.83791,3.76113,1.0257,3.2885e-05,3.2885e-05,3.2885e-05
