epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.53712,1.16043,4.40031,1.20788,0.00317,0.35778,0.03247,0.02446,0.63143,3.58665,0.96086,0.0760081,8.06165e-06,8.06165e-06
2,4.43906,1.13381,4.38724,1.17782,0.0033,0.36118,0.0304,0.02261,0.68276,3.59293,0.98039,0.0510132,1.32003e-05,1.32003e-05
3,6.28983,1.09453,4.34986,1.1787,0.0035,0.3824,0.02719,0.01952,0.69658,3.60128,0.97685,0.026015,1.50135e-05,1.50135e-05
4,8.10075,1.12087,4.38242,1.16366,0.00357,0.36788,0.028,0.01785,0.7202,3.61449,0.98511,0.0010135,1.35013e-05,1.35013e-05
5,9.91509,1.08816,4.37797,1.18307,0.0039,0.37333,0.02737,0.01789,0.73851,3.62073,0.9926,6.98676e-06,6.98676e-06,6.98676e-06
