epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.62732,1.25191,3.95023,1.17871,0.00127,0.21905,0.01985,0.01373,1.25806,3.56339,1.20798,0.0760176,1.75817e-05,1.75817e-05
2,4.21667,1.22982,3.66017,1.14661,0.00105,0.21769,0.03148,0.02652,0.99145,3.3821,1.09117,0.0510288,2.87886e-05,2.87886e-05
3,5.88543,1.21313,3.51296,1.14939,0.00545,0.30377,0.06835,0.05329,0.88883,3.25994,1.03397,0.0260327,3.27431e-05,3.27431e-05
4,7.49507,1.15361,3.36451,1.12527,0.39334,0.06939,0.10049,0.07939,0.9412,3.09542,1.04504,0.00102945,2.9445e-05,2.9445e-05
5,9.38388,1.13608,3.31542,1.11499,0.38666,0.05002,0.10373,0.0803,0.94948,2.96749,1.05187,1.52375e-05,1.52375e-05,1.52375e-05
