epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.11207,1.15506,4.31323,1.20253,0.00167,0.25467,0.02106,0.01384,1.18757,3.69343,1.27394,0.076008,7.98338e-06,7.98338e-06
2,5.46031,1.05743,3.84933,1.14155,0.00155,0.27316,0.07148,0.0544,0.81978,3.48927,1.07347,0.0510131,1.30721e-05,1.30721e-05
3,7.83081,0.99573,3.66499,1.12212,0.0015,0.25869,0.10181,0.08373,0.68947,3.30816,0.97344,0.0260149,1.48677e-05,1.48677e-05
4,10.1982,0.97571,3.56655,1.05882,0.00204,0.32356,0.10802,0.09379,0.64694,3.13871,0.93011,0.00101337,1.33702e-05,1.33702e-05
5,12.5698,0.96718,3.54539,1.09109,0.42985,0.02875,0.11066,0.09596,0.65812,3.0418,0.92536,6.91893e-06,6.91893e-06,6.91893e-06
