epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.1047,1.14253,4.03969,1.22756,0.0019,0.27984,0.03896,0.02924,1.10173,3.57807,1.27992,0.0760024,2.41773e-06,2.41773e-06
2,5.47918,1.08287,3.66354,1.1617,0.00164,0.29765,0.10345,0.09014,0.72566,3.25367,1.00262,0.051004,3.95884e-06,3.95884e-06
3,7.89094,0.98923,3.50767,1.12582,0.00167,0.30105,0.10742,0.09392,0.66009,3.15699,0.95472,0.0260045,4.50262e-06,4.50262e-06
4,10.2982,1.01366,3.52439,1.1206,0.00179,0.3188,0.10913,0.09827,0.60298,3.04628,0.91567,0.00100405,4.0491e-06,4.0491e-06
5,12.9772,0.98993,3.45965,1.1262,0.43968,0.06049,0.1071,0.09499,0.59808,2.91794,0.90772,2.09537e-06,2.09537e-06,2.09537e-06
