epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.01991,1.13883,4.14472,1.17684,0.00167,0.24638,0.00959,0.00577,1.20772,3.60746,1.28709,0.0760025,2.45868e-06,2.45868e-06
2,4.86817,1.0875,3.8772,1.12946,0.0022,0.33234,0.05908,0.04606,0.74959,3.33667,1.01259,0.051004,4.02588e-06,4.02588e-06
3,6.72645,1.03383,3.6912,1.11417,0.00222,0.34187,0.07194,0.05886,0.70001,3.23705,0.96846,0.0260046,4.57888e-06,4.57888e-06
4,8.63614,1.03001,3.62618,1.12144,0.50031,0.12313,0.07699,0.06432,0.67666,3.11064,0.94014,0.00100412,4.11768e-06,4.11768e-06
5,10.7885,0.99543,3.49992,1.10213,0.81894,0.0102,0.07822,0.06587,0.67479,3.06005,0.94342,2.13086e-06,2.13086e-06,2.13086e-06
