epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.43118,1.17234,4.58517,1.24416,0.00374,0.39781,0.02111,0.01409,0.58839,3.50791,0.93486,0.0760028,2.83578e-06,2.83578e-06
2,5.69899,1.15914,4.6269,1.21702,0.00363,0.40689,0.03154,0.0229,0.64807,3.51942,0.95724,0.0510046,4.64335e-06,4.64335e-06
3,7.89799,1.12014,4.56024,1.21547,0.00365,0.3939,0.03399,0.02556,0.70211,3.5402,0.98105,0.0260053,5.28117e-06,5.28117e-06
4,10.0923,1.16979,4.56034,1.23798,0.00392,0.40348,0.03099,0.02326,0.75123,3.56999,1.01141,0.00100475,4.74922e-06,4.74922e-06
5,12.1982,1.12123,4.53522,1.21506,0.00432,0.3973,0.03549,0.02432,0.76861,3.5789,1.01787,2.45767e-06,2.45767e-06,2.45767e-06
