epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.20419,1.61348,4.29771,1.53,0.00029,0.04898,0.0004,7e-05,3.22869,4.25744,5.56822,0.0778855,0.00188554,0.00188554
2,5.52817,2.27223,4.01333,2.04275,0.0008,0.10874,0.00063,0.00018,2.81404,inf,7.13323,0.0540874,0.00308742,0.00308742
3,7.9387,2.27187,3.70733,2.11384,0.28641,0.09184,0.00049,0.0002,2.90618,inf,5.94545,0.0295115,0.00351151,0.00351151
4,10.289,2.22284,3.53789,2.03974,0.28842,0.19691,0.00175,0.00063,2.3924,inf,3.2909,0.00415781,0.00315781,0.00315781
5,12.8611,2.14762,3.44573,1.96871,0.17377,0.40748,0.02904,0.01051,2.1246,73.7513,2.18026,0.00163414,0.00163414,0.00163414
