epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.06062,1.17283,4.56309,1.23166,0.00437,0.40876,0.02327,0.01607,0.5759,3.5083,0.93379,0.076174,0.000174035,0.000174035
2,5.36087,1.11939,4.42468,1.21403,0.00388,0.40627,0.02991,0.02095,0.60793,3.51435,0.93862,0.051285,0.000284967,0.000284967
3,7.67723,1.05382,4.48861,1.18419,0.00395,0.41369,0.03067,0.02374,0.64194,3.52348,0.95175,0.0263241,0.000324111,0.000324111
4,9.98719,1.04167,4.36585,1.15338,0.00414,0.42752,0.03735,0.02986,0.6816,3.53965,0.97271,0.00129146,0.000291465,0.000291465
5,12.2843,1.0184,4.39459,1.15538,0.00435,0.42463,0.03573,0.02817,0.67498,3.54715,0.9686,0.00015083,0.00015083,0.00015083
