epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.06026,1.12964,3.97501,1.17672,0.00174,0.23748,0.02145,0.01517,1.05639,3.55318,1.2469,0.0760262,2.61509e-05,2.61509e-05
2,4.89324,1.10824,3.61676,1.13679,0.00228,0.36529,0.07309,0.05895,0.75128,3.25079,0.96866,0.0510428,4.28199e-05,4.28199e-05
3,6.77499,1.04901,3.44809,1.098,0.54899,0.02041,0.10945,0.09036,0.71821,3.01888,0.93031,0.0260487,4.87017e-05,4.87017e-05
4,8.59911,1.08161,3.32539,1.1204,0.5822,0.08279,0.12678,0.10311,0.72052,2.80135,0.93348,0.0010438,4.37962e-05,4.37962e-05
5,10.4763,1.01459,3.11116,1.10164,0.68855,0.13014,0.12856,0.10562,0.70078,2.65692,0.92625,2.26641e-05,2.26641e-05,2.26641e-05
